database,version,topology,provider,zone,workload,database_actual_version,started_at,finished_at,preset,compile,smoke,full_workloads,baseline_matrix,segment_matrix,component_metrics,managed_database_metrics,database_metric_distributions,component_logs,artifacts,replication,pipeline_traces,native_tps,native_otlp_metrics,fault_campaign,cleanup,run_id,iterations,input,evidence,checked_at,note,component_log_observations,retry_attempts,local_cluster,recheck_run_id,recheck_phase,recheck_stage,recheck_verification,run_phase,run_status_checked_at,run_stage,run_stage_checked_at,infrastructure_provisioning,infrastructure_recovery,recovery_evidence
postgres,16,patroni-ha,yandex,ru-central1-a,simple,,,,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,pending,pending,pending,passed,not_applicable,pending,pending,passed,matrix-patroni-96794a09-pg16-patroni-ha,137621,matrix/postgres-patroni-ha-16-simple.json,patroni-matrix-check.json,2026-09-14T17:10:31.296357+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
postgres,16,pgbouncer,yandex,ru-central1-a,simple,,,,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,pending,pending,pending,passed,not_applicable,pending,pending,passed,matrix-pg-final-951a642e-pg16-pgbouncer,125707,matrix/postgres-pgbouncer-16-simple.json,postgres-matrix-check.json,2026-09-14T14:54:13.720027+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
postgres,15,single,yandex,ru-central1-a,simple,,,,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,pending,pending,pending,passed,not_applicable,pending,pending,passed,matrix-pg-versions-ed460e6f-pg15-single,251067,matrix/postgres-single-15-simple.json,postgres-matrix-check.json,2026-09-14T14:54:13.720027+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
postgres,15,primary-replica,yandex,ru-central1-a,simple,,,,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,pending,pending,pending,passed,not_applicable,pending,pending,passed,matrix-pg-retry-daaf3554-pg15-primary-replica,247142,matrix/postgres-primary-replica-15-simple.json,postgres-matrix-check.json,2026-09-14T14:54:13.720027+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
postgres,15,patroni-ha,yandex,ru-central1-a,simple,,,,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,pending,pending,pending,passed,not_applicable,pending,pending,passed,matrix-patroni-96794a09-pg15-patroni-ha,144852,matrix/postgres-patroni-ha-15-simple.json,patroni-matrix-check.json,2026-09-14T17:10:31.296357+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
postgres,15,pgbouncer,yandex,ru-central1-a,simple,,,,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,pending,pending,pending,passed,not_applicable,pending,pending,passed,matrix-pg-final-951a642e-pg15-pgbouncer,119664,matrix/postgres-pgbouncer-15-simple.json,postgres-matrix-check.json,2026-09-14T14:54:13.720027+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
orioledb,beta17-pg18,single,yandex,ru-central1-a,simple,"PostgreSQL 18.6 OrioleDB beta 17 PGTAG=patches18_2 alpine:3.21+clang build:2026-09-04T21:10:49+00:00 18.6 on x86_64-pc-linux-musl, compiled by Alpine clang version 19.1.4, 64-bit",2026-09-15T13:26:03.541496972Z,2026-09-15T13:28:08.153140085Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,not_applicable,passed,not_applicable,passed,pending,passed,matrix-oriole-0d49e1e2-managed-orioledb-single-pg18,183893.0,suite-orioledb.json,catalog-functional-check.json,2026-09-15T13:39:17.098573+00:00,"Native workload, durable telemetry and downloaded artifacts verified; actual Oriole table method and UTF8 checked by SQL on every member. Transaction conflict and expected TPC-C rollback log observations retained. Cleanup here proves resource removal, not graceful database shutdown.","{""postgres_transaction_conflict"": 489, ""diagnostic_probe_query_error"": 2}",0.0,passed,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
orioledb,beta17-pg18,primary-replica,yandex,ru-central1-a,simple,"PostgreSQL 18.6 OrioleDB beta 17 PGTAG=patches18_2 alpine:3.21+clang build:2026-09-04T21:10:49+00:00 18.6 on x86_64-pc-linux-musl, compiled by Alpine clang version 19.1.4, 64-bit",2026-09-15T13:26:33.216992601Z,2026-09-15T13:28:40.802539951Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,passed,passed,not_applicable,passed,pending,passed,matrix-oriole-0d49e1e2-managed-orioledb-primary-replica-pg18,117921.0,suite-orioledb.json,catalog-functional-check.json,2026-09-15T13:46:17.391046+00:00,"Native workload, durable telemetry and downloaded artifacts verified; actual Oriole table method and UTF8 checked by SQL on every member. Transaction conflict and expected TPC-C rollback log observations retained. Cleanup here proves resource removal, not graceful database shutdown.","{""postgres_transaction_conflict"": 378}",0.0,passed,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
orioledb,beta17-pg17,single,yandex,ru-central1-a,simple,"PostgreSQL 17.11 OrioleDB beta 17 PGTAG=patches17_21 alpine:3.21+clang build:2026-09-04T21:10:45+00:00 17.11 on x86_64-pc-linux-musl, compiled by Alpine clang version 19.1.4, 64-bit",2026-09-15T13:37:06.910338459Z,2026-09-15T13:39:12.972654014Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,not_applicable,passed,not_applicable,passed,pending,passed,matrix-oriole-0d49e1e2-managed-orioledb-single-pg17,198289.0,suite-orioledb.json,catalog-functional-check.json,2026-09-15T13:44:12.665682+00:00,"Native workload, durable telemetry and downloaded artifacts verified; actual Oriole table method and UTF8 checked by SQL on every member. Transaction conflict and expected TPC-C rollback log observations retained. Cleanup here proves resource removal, not graceful database shutdown.","{""postgres_transaction_conflict"": 483}",0.0,passed,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
orioledb,beta17-pg17,primary-replica,yandex,ru-central1-a,simple,"PostgreSQL 17.11 OrioleDB beta 17 PGTAG=patches17_21 alpine:3.21+clang build:2026-09-04T21:10:45+00:00 17.11 on x86_64-pc-linux-musl, compiled by Alpine clang version 19.1.4, 64-bit",2026-09-15T14:03:57.535498583Z,2026-09-15T14:06:02.045101034Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,passed,passed,not_applicable,passed,pending,passed,matrix-oriole-retry-86dd0e6a-orioledb-primary-replica-pg17,122485.0,suite-orioledb-retry.json,catalog-functional-check.json,2026-09-15T14:14:45.681673+00:00,"Native workload, durable telemetry and downloaded artifacts verified; actual Oriole table method and UTF8 checked by SQL on every member. Transaction conflict and expected TPC-C rollback log observations retained. Cleanup here proves resource removal, not graceful database shutdown.","{""postgres_transaction_conflict"": 393}",0.0,passed,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
orioledb,beta17-pg16,single,yandex,ru-central1-a,simple,"PostgreSQL 16.15 OrioleDB beta 17 PGTAG=patches16_48 alpine:3.21+clang build:2026-09-04T21:11:02+00:00 16.15 on x86_64-pc-linux-musl, compiled by Alpine clang version 19.1.4, 64-bit",2026-09-15T14:03:44.036566896Z,2026-09-15T14:05:48.843073332Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,not_applicable,passed,not_applicable,passed,pending,passed,matrix-oriole-retry-86dd0e6a-orioledb-single-pg16,211220.0,suite-orioledb-retry.json,catalog-functional-check.json,2026-09-15T14:10:58.931025+00:00,"Native workload, durable telemetry and downloaded artifacts verified; actual Oriole table method and UTF8 checked by SQL on every member. Transaction conflict and expected TPC-C rollback log observations retained. Cleanup here proves resource removal, not graceful database shutdown.","{""postgres_transaction_conflict"": 414}",0.0,passed,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
orioledb,beta17-pg16,primary-replica,yandex,ru-central1-a,simple,"PostgreSQL 16.15 OrioleDB beta 17 PGTAG=patches16_48 alpine:3.21+clang build:2026-09-04T21:11:02+00:00 16.15 on x86_64-pc-linux-musl, compiled by Alpine clang version 19.1.4, 64-bit",2026-09-15T14:15:16.864864657Z,2026-09-15T14:17:21.661946698Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,passed,passed,not_applicable,passed,pending,passed,matrix-oriole-retry-86dd0e6a-orioledb-primary-replica-pg16,117095.0,suite-orioledb-retry.json,catalog-functional-check.json,2026-09-15T14:29:59.274752+00:00,"Native workload, durable telemetry and downloaded artifacts verified; actual Oriole table method and UTF8 checked by SQL on every member. Transaction conflict and expected TPC-C rollback log observations retained. Cleanup here proves resource removal, not graceful database shutdown.","{""postgres_transaction_conflict"": 416}",0.0,passed,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
mysql,8.4,single,yandex,ru-central1-a,simple,8.4.11,2026-09-15T10:02:08.585140Z,2026-09-15T10:14:41.205868Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,not_applicable,passed,not_applicable,passed,pending,passed,matrix-mysql84-fixed-fc2399ff-mysql84-single,102482.0,suite-mysql84-single-fixed.json,mysql-family-check.json,2026-09-15T10:14:48.580723+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
mysql,8.4,semi-sync,yandex,ru-central1-a,simple,8.4.11,2026-09-15T09:45:00.424701Z,2026-09-15T09:59:45.903196Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,passed,passed,not_applicable,passed,pending,passed,matrix-mysql-family-19fb11ff-mysql84-semi-sync,99741.0,suite-mysql-family-final.json,mysql-family-check.json,2026-09-15T10:02:41.788107+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
mysql,8.4,group-replication,yandex,ru-central1-a,simple,8.4.11,2026-09-15T11:14:16.325626194Z,2026-09-15T11:18:22.702447547Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,passed,passed,not_applicable,passed,pending,passed,matrix-mysql-clusters-fixed-babb0afe-mysql-gr-84,39990.0,suite-mysql-clusters.json,mysql-clusters-check.json,2026-09-15T11:25:41.157567+00:00,causal reads; five native workload segments; all cluster/proxy/component/artifact checks passed,{},0.0,passed,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
mysql,8.0,single,yandex,ru-central1-a,simple,8.0.46,2026-09-15T08:43:43.758351Z,2026-09-15T08:55:34.297679Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,not_applicable,passed,not_applicable,passed,pending,passed,matrix-mysql-fixed-2a83f8e4-mysql80-single,92572.0,suite-mysql-fixed.json,mysql-family-check.json,2026-09-15T08:57:28.449022+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
mysql,8.0,semi-sync,yandex,ru-central1-a,simple,8.0.46,2026-09-15T09:45:00.428369Z,2026-09-15T10:00:00.361390Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,passed,passed,not_applicable,passed,pending,passed,matrix-mysql-family-19fb11ff-mysql80-semi-sync,98794.0,suite-mysql-family-final.json,mysql-family-check.json,2026-09-15T10:03:06.628975+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
mysql,8.0,group-replication,yandex,ru-central1-a,simple,8.0.46,2026-09-15T11:14:20.375692663Z,2026-09-15T11:18:30.334867558Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,passed,passed,not_applicable,passed,pending,passed,matrix-mysql-clusters-fixed-babb0afe-mysql-gr-80,40158.0,suite-mysql-clusters.json,mysql-clusters-check.json,2026-09-15T11:26:42.501200+00:00,causal reads; five native workload segments; all cluster/proxy/component/artifact checks passed,{},0.0,passed,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
mariadb,11.8,single,yandex,ru-central1-a,simple,11.8.9-MariaDB-ubu2404-log,2026-09-15T12:06:07.023519297Z,2026-09-15T12:09:55.574755116Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,not_applicable,passed,not_applicable,passed,pending,passed,matrix-maria-monitor-e4a0fdb4-mariadb-single-118,116960.0,suite-mariadb-monitor-fixed.json,mysql-family-check.json,2026-09-15T12:14:48.475326+00:00,,"{""mariadb_record_changed"": 338}",0.0,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
mariadb,11.8,galera,yandex,ru-central1-a,simple,11.8.9-MariaDB-ubu2404-log,2026-09-15T11:49:04.819455144Z,2026-09-15T11:52:58.025645598Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,passed,passed,not_applicable,passed,pending,passed,matrix-maria-monitor-e4a0fdb4-mariadb-galera-118,77635.0,suite-mariadb-monitor-fixed.json,mysql-clusters-check.json,2026-09-15T12:05:51.338359+00:00,all native workloads and exporter collectors passed; log observations retained separately; MariaDB SLAVE MONITOR included at bootstrap,"{""mariadb_record_changed"": 49}",0.0,passed,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
mariadb,11.4,single,yandex,ru-central1-a,simple,11.4.13-MariaDB-ubu2404-log,2026-09-15T12:17:55.843228002Z,2026-09-15T12:21:42.743075561Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,not_applicable,passed,not_applicable,passed,pending,passed,matrix-maria-monitor-e4a0fdb4-mariadb-single-114,122215.0,suite-mariadb-monitor-fixed.json,mysql-family-check.json,2026-09-15T12:24:51.247137+00:00,,{},0.0,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
mariadb,11.4,galera,yandex,ru-central1-a,simple,11.4.13-MariaDB-ubu2404-log,2026-09-15T11:49:06.272739804Z,2026-09-15T11:53:02.737056876Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,passed,passed,not_applicable,passed,pending,passed,matrix-maria-monitor-e4a0fdb4-mariadb-galera-114,75596.0,suite-mariadb-monitor-fixed.json,mysql-clusters-check.json,2026-09-15T12:05:51.338936+00:00,all native workloads and exporter collectors passed; log observations retained separately; MariaDB SLAVE MONITOR included at bootstrap,"{""galera_monitor_timeout"": 3}",0.0,passed,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
mariadb,10.11,single,yandex,ru-central1-a,simple,10.11.19-MariaDB-ubu2204-log,2026-09-15T12:21:18.600478025Z,2026-09-15T12:25:06.222631023Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,not_applicable,passed,not_applicable,passed,pending,passed,matrix-maria-monitor-e4a0fdb4-mariadb-single-1011,118024.0,suite-mariadb-monitor-fixed.json,mysql-family-check.json,2026-09-15T12:53:56.872182+00:00,,{},0.0,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
mariadb,10.11,galera,yandex,ru-central1-a,simple,10.11.19-MariaDB-ubu2204-log,2026-09-15T12:05:14.389886462Z,2026-09-15T12:09:12.844741815Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,passed,passed,not_applicable,passed,pending,passed,matrix-maria-monitor-e4a0fdb4-mariadb-galera-1011,72302.0,suite-mariadb-monitor-fixed.json,mysql-clusters-check.json,2026-09-15T12:27:00.803617+00:00,all native workloads and exporter collectors passed; log observations retained separately; MariaDB SLAVE MONITOR included at bootstrap; First 45 seconds retain delayed bootstrap gauges in workload_observation and are checked with database log timestamps plus independent SQL probe; strict cluster metric assertions start at workload+45s (30s scrape beat + 15s OTLP collection). This does not establish continuous or scrape-time metric coverage. See mariadb-galera-1011.startup-telemetry.json.,"{""galera_monitor_timeout"": 2}",0.0,passed,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
picodata,26.2,single,yandex,ru-central1-a,simple,,2026-09-15T16:31:10.192585637Z,2026-09-15T16:34:16.964897339Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,passed,passed,not_applicable,passed,pending,passed,matrix-picodata-metrics-85175d12-picodata-single-26.2,,suite-picodata-metrics.json,catalog-functional-check.json,2026-09-15T16:37:29.951718+00:00,"Three transactionless native workloads, member SQL checks, persisted telemetry and downloaded artifacts passed. Component metric coverage currently covers scalars; database histograms require a Graphene collector fix. Quiet initializer verified by persisted readiness signal.",{},,passed,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
picodata,26.2,three-node,yandex,ru-central1-a,simple,,2026-09-15T17:13:03.295416761Z,2026-09-15T17:16:15.064046302Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,passed,passed,not_applicable,passed,pending,passed,matrix-picodata-metrics-85175d12-picodata-three-node-26.2,,suite-picodata-metrics.json,catalog-functional-check.json,2026-09-15T17:32:34.034719+00:00,"Three transactionless native workloads, all-member SQL checks, persisted scalar metrics/logs/traces, artifact downloads and cleanup passed. Six startup messages delivered after workload start retained by exact hash. Database histograms remain pending.","{""picodata_pre_workload_log_delivered_later"": 6}",,passed,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
picodata,26.1,single,yandex,ru-central1-a,simple,,2026-09-15T16:20:27.360150398Z,2026-09-15T16:23:37.184245022Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,passed,passed,not_applicable,passed,pending,passed,matrix-picodata-metrics-85175d12-picodata-single-26.1,,suite-picodata-metrics.json,catalog-functional-check.json,2026-09-15T16:42:03.773557+00:00,"Three transactionless native workloads, member SQL checks, persisted telemetry and downloaded artifacts passed. Component metric coverage currently covers scalars; database histograms require a Graphene collector fix. Quiet initializer verified by persisted readiness signal.","{""diagnostic_probe_abrupt_disconnect"": 1}",,passed,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
picodata,26.1,three-node,yandex,ru-central1-a,simple,,2026-09-15T16:57:07.877830781Z,2026-09-15T17:00:14.557136469Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,passed,passed,not_applicable,passed,pending,passed,matrix-picodata-metrics-85175d12-picodata-three-node-26.1,,suite-picodata-metrics.json,catalog-functional-check.json,2026-09-15T17:14:26.401954+00:00,"Three transactionless native workloads, all-member SQL checks, persisted scalar metrics/logs/traces, artifact downloads and cleanup passed. Six startup messages delivered after workload start retained by exact hash. Database histograms remain pending.","{""picodata_pre_workload_log_delivered_later"": 6}",,passed,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
picodata,25.3,single,yandex,ru-central1-a,simple,25.3.8,2026-09-15T16:09:28.926244163Z,2026-09-15T16:12:49.278564973Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,passed,passed,not_applicable,passed,pending,passed,matrix-picodata-metrics-85175d12-picodata-single-25.3,,suite-picodata-metrics.json,catalog-functional-check.json,2026-09-15T16:26:02.753503+00:00,All three native workloads and persistent telemetry verified. Picodata workloads are transactionless. Quiet initializer verified by container.ready signal; one owned probe EOF retained with exact-hash classification and reproduced/fixed separately.,"{""diagnostic_probe_abrupt_disconnect"": 1}",,passed,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
picodata,25.3,three-node,yandex,ru-central1-a,simple,,2026-09-15T16:42:05.06638666Z,2026-09-15T16:45:21.163976937Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,passed,passed,not_applicable,passed,pending,passed,matrix-picodata-metrics-85175d12-picodata-three-node-25.3,,suite-picodata-metrics.json,catalog-functional-check.json,2026-09-15T17:02:40.416710+00:00,"Three transactionless native workloads and SQL membership on every member passed. Persisted telemetry, artifact downloads and removal of owned resources verified. Eleven pre-workload messages delivered later retained by exact hash; shutdown observations retained separately. DB histograms and graceful decommissioning remain unverified.","{""picodata_pre_workload_log_delivered_later"": 11}",,passed,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
ydb,26.3,single,yandex,ru-central1-a,simple,,2026-09-15T20:17:04.278342232Z,2026-09-15T20:20:10.567769927Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,passed,passed,not_applicable,passed,pending,passed,matrix-ydbmetrics-4f28bec5-ydb-single-26.3,,suite-ydb-metricsretry.json,catalog-functional-check.json,2026-09-15T20:28:06.051417+00:00,"All configured native workloads completed without terminal errors. Persisted native OTLP, scalar component metrics, logs, traces, artifact downloads and removal of owned YC resources verified. Database histogram/summary export remains pending.","{""ydb_transaction_conflict"": 239, ""ydb_initial_drop_missing_table"": 14, ""ydb_default_pool_already_exists"": 1, ""ydb_bootstrap_before_workload"": 6}",,passed,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
ydb,26.3,mirror-3-dc,yandex,"ru-central1-a,ru-central1-b,ru-central1-d",simple,,2026-09-15T23:04:04.17199595Z,2026-09-15T23:07:09.987533899Z,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,passed,passed,passed,passed,not_applicable,passed,pending,passed,matrix-ydbautonomous-73a81601-ydb-mirror-3-dc-26.3-autonomous,,suite-ydb-autonomous.json,catalog-functional-check.json,2026-09-15T23:35:47.315642+00:00,"All configured native workloads completed without terminal errors. Persisted native OTLP, scalar component metrics, logs, traces, artifact downloads and removal of owned YC resources verified. Database histogram/summary export remains pending.","{""ydb_initial_drop_missing_table"": 14, ""ydb_transaction_conflict"": 67, ""ydb_tablet_split_retry"": 4, ""ydb_finished_transaction_sibling_abort"": 2, ""ydb_bootstrap_before_workload"": 49, ""ydb_default_pool_already_exists"": 1, ""ydb_finished_split_wrong_shard"": 3, ""ydb_finished_transaction_read_abort"": 4}",,not_verified,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,automatic_verified,,
